DatasetID,year1,author1,DATA (B) 0.1,ERR-T (B) 0.911,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D4095002,2001,E.Hess+,0.0451,0.0066,1,5,5,5,1.865e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0535,0.0078,1,5,5,5,1.904e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0457,0.0054,1,5,5,5,1.934e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0241,0.0035,1,5,5,5,1.958e+7,1.2e+6,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.033,0.0048,1,5,5,5,1.993e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0546,0.008,1,5,5,5,2.051e+7,2.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0282,0.0041,1,5,5,5,2.163e+7,1.0e+6,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0325,0.0048,1,5,5,5,2.293e+7,9.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0233,0.0034,1,5,5,5,2.449e+7,8.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0264,0.0043,1,5,5,5,2.646e+7,8.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.0183,0.0027,1,5,5,5,2.831e+7,7.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.029,0.0047,1,5,5,5,3.002e+7,6.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
